name,role,cid,inchikey,in_lincs,pert_id,pert_iname,is_touchstone,match_via,n_sig_phase1,n_sig_phase2,n_sig_total,n_cell_lines,cell_lines
rotenone,positive,6758,JUVIOZPCNVVQFO-HBGVWJBISA-N,True,BRD-K08316444,rotenone,0,inchikey,77,0,77,56,A375|A549|A673|AGS|CL34|CORL23|COV644|DV90|EFO27|FIBRNPC|H1299|HA1E|HCC15|HCC515|HCT116|HEC108|HEPG2|HT115|HT29|HUH7|JHUEM2|LOVO|MCF7|MDST8|NCIH1694|NCIH1836|NCIH2073|NCIH508|NCIH596|NEU|NOMO1|NPC|OV7|PC3|PHH|PL21|RKO|RMGI|RMUGS|SKLU1|SKM1|SKMEL1|SKMEL28|SNGM|SNU1040|SNUC4|SNUC5|SW480|SW620|SW948|T3M10|THP1|TYKNU|U937|VCAP|WSUDLCL2
MPP+,positive,39484,FMGYKKMPNATWHP-UHFFFAOYSA-N,False,,,,,0,0,0,0,
MPTP,positive,1388,PLRACCBDVIHHLZ-UHFFFAOYSA-N,False,,,,,0,0,0,0,
paraquat,positive,15939,INFDPOAKFNIJBF-UHFFFAOYSA-N,False,,,,,0,0,0,0,
maneb,positive,3032581,YKSNLCVSTHTHJA-UHFFFAOYSA-L,False,,,,,0,0,0,0,
manganese chloride,positive,26003,CNFDGXZLMLFIJV-UHFFFAOYSA-L,False,,,,,0,0,0,0,
methylmercury chloride,positive,409301,BABMCXWQNSQAOC-UHFFFAOYSA-M,False,,,,,0,0,0,0,
lead acetate,positive,9317,GUWSLQUAAYEZAF-UHFFFAOYSA-L,False,,,,,0,0,0,0,
deguelin,positive,107935,ORDAZKGHSNRHTD-UXHICEINSA-N,True,BRD-K61401890,deguelin,1,inchikey,19,0,19,13,A375|A549|ASC|HA1E|HCC515|HEPG2|HT29|MCF7|NPC|PC3|PHH|SKB|VCAP
dieldrin,positive,969491,DFBKLUNHFCTMDC-PICURKEMSA-N,False,,,,,0,0,0,0,
chlorpyrifos,positive,2730,SBPBAQFWLVIOKP-UHFFFAOYSA-N,False,,,,,0,0,0,0,
6-hydroxydopamine,positive,4624,DIVDFFZHCJEHGG-UHFFFAOYSA-N,True,BRD-K41809988,oxidopamine,0,inchikey,12,0,12,3,FIBRNPC|NEU|NPC
acetaminophen,negative,1983,RZVAJINKPMORJF-UHFFFAOYSA-N,True,BRD-K41524689,paracetamol,0,inchikey,4,42,46,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
sulfamethoxazole,negative,5329,JLKIGFTWXXRPMT-UHFFFAOYSA-N,True,BRD-K28494619,sulfamethoxazole,0,inchikey,3,0,3,2,MCF7|PC3
furosemide,negative,3440,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,True,BRD-K78010432,furosemide,0,inchikey,3,42,45,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
warfarin,negative,54678486,PJVWKTKQMONHTI-UHFFFAOYSA-N,True,BRD-A24514565,warfarin,1,inchikey,30,42,72,10,A375|A549|HA1E|HCC515|HELA|HT29|MCF7|PC3|VCAP|YAPC
ibuprofen,negative,3672,HEFNNWSXXWATRW-UHFFFAOYSA-N,True,BRD-A17655518,ibuprofen,1,inchikey,26,42,68,10,A375|A549|HA1E|HCC515|HELA|HT29|MCF7|PC3|VCAP|YAPC
troglitazone,negative,5591,GXPHKUHSUJUWKP-UHFFFAOYSA-N,True,BRD-A13084692,troglitazone,1,inchikey,187,42,229,56,A375|A549|A673|AGS|CL34|CORL23|COV644|DV90|EFO27|FIBRNPC|H1299|HA1E|HCC15|HCC515|HCT116|HEC108|HELA|HEPG2|HT115|HT29|JHUEM2|LOVO|MCF7|MDST8|NCIH1694|NCIH1836|NCIH2073|NCIH508|NCIH596|NEU|NOMO1|NPC|OV7|PC3|PL21|RKO|RMGI|RMUGS|SKLU1|SKM1|SKMEL1|SKMEL28|SNGM|SNU1040|SNUC4|SNUC5|SW480|SW620|SW948|T3M10|THP1|TYKNU|U937|VCAP|WSUDLCL2|YAPC
fulvestrant,negative,104741,VWUXBMIQPBEWFH-WCCTWKNTSA-N,False,,,,,0,0,0,0,
fenofibrate,negative,3339,YMTINGFKWWXKFG-UHFFFAOYSA-N,True,BRD-K50388907,fenofibrate,1,inchikey,22,0,22,13,A375|A549|ASC|HA1E|HCC515|HEPG2|HT29|MCF7|NPC|PC3|PHH|SKB|VCAP
propiconazole,negative,43234,STJLVHWMYQXCPB-UHFFFAOYSA-N,False,,,,,0,0,0,0,
prochloraz,negative,73665,TVLSRXXIMLFWEO-UHFFFAOYSA-N,False,,,,,0,0,0,0,
diethyl phthalate,negative,6781,FLKPEMZONWLCSK-UHFFFAOYSA-N,False,,,,,0,0,0,0,
simvastatin,negative,54454,RYMZZMVNJRMUDD-HGQWONQESA-N,True,BRD-K22134346,simvastatin,0,inchikey,100,42,142,60,A375|A549|A673|AGS|ASC|CL34|CORL23|COV644|DV90|EFO27|FIBRNPC|H1299|HA1E|HCC15|HCC515|HCT116|HEC108|HELA|HEPG2|HT115|HT29|HUH7|JHUEM2|LOVO|MCF7|MDST8|NCIH1694|NCIH1836|NCIH2073|NCIH508|NCIH596|NEU|NOMO1|NPC|OV7|PC3|PHH|PL21|RKO|RMGI|RMUGS|SKB|SKLU1|SKM1|SKMEL1|SKMEL28|SNGM|SNU1040|SNUC4|SNUC5|SW480|SW620|SW948|T3M10|THP1|TYKNU|U937|VCAP|WSUDLCL2|YAPC
D-glucose,negative,5793,WQZGKKKJIJFFOK-GASJEMHNSA-N,False,,,,,0,0,0,0,
sucrose,negative,5988,CZMRCDWAGMRECN-UGDNZRGBSA-N,False,,,,,0,0,0,0,
sodium chloride,negative,5234,FAPWRFPIFSIZLT-UHFFFAOYSA-M,False,,,,,0,0,0,0,
