,rotenone,MPP+,MPTP,paraquat,manganese chloride,methylmercury chloride,chlorpyrifos,acetaminophen,warfarin,troglitazone,fenofibrate,propiconazole,prochloraz,simvastatin
rotenone,1.0,0.4830458915396479,,0.8106434833777777,0.1690308509457033,1.0,0.6950480468569159,0.0,0.3380617018914066,0.7559289460184544,0.0,0.1889822365046136,0.3333333333333333,0.7416198487095663
MPP+,0.4830458915396479,0.9999999999999998,0.0,0.4335549847620599,0.0,0.4714045207910316,0.5303300858899106,0.0,0.6123724356957946,,,,,0.7071067811865475
MPTP,,0.0,0.0,,0.0,0.0,0.0,,,,,,,
paraquat,0.8106434833777777,0.4335549847620599,,0.9999999999999998,0.47519096331149147,0.8120207067920382,0.8437499999999998,0.0,0.3651483716701107,,,,,0.82915619758885
manganese chloride,0.1690308509457033,0.0,0.0,0.47519096331149147,1.0,0.3859224924939799,0.4190790380624748,0.0,0.0,,,,,0.0
methylmercury chloride,1.0,0.4714045207910316,0.0,0.8120207067920382,0.3859224924939799,1.0000000000000002,0.721178860387891,0.0,0.3086066999241838,,,,,0.82915619758885
chlorpyrifos,0.6950480468569159,0.5303300858899106,0.0,0.8437499999999998,0.4190790380624748,0.721178860387891,1.0000000000000002,0.0,0.3651483716701107,,,,,0.7817359599705717
acetaminophen,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
warfarin,0.3380617018914066,0.6123724356957946,,0.3651483716701107,0.0,0.3086066999241838,0.3651483716701107,0.0,1.0,,,,,0.6030226891555273
troglitazone,0.7559289460184544,,,,,,,0.0,,0.9999999999999999,,0.4629100498862757,0.5714285714285714,0.0
fenofibrate,0.0,,,,,,,,,,0.0,,0.0,
propiconazole,0.1889822365046136,,,,,,,0.0,,0.4629100498862757,,0.9999999999999998,0.4999999999999999,0.0
prochloraz,0.3333333333333333,,,,,,,0.0,,0.5714285714285714,0.0,0.4999999999999999,1.0000000000000002,0.0
simvastatin,0.7416198487095663,0.7071067811865475,,0.82915619758885,0.0,0.82915619758885,0.7817359599705717,0.0,0.6030226891555273,0.0,,0.0,0.0,1.0
